date,open,high,low,close,volume,trade_volume
20160701,7231,7406,7189,7281,1306509,9518
20160630,6597,7665,6597,7331,4452066,32155
20160629,6363,6538,6296,6363,718928,4607
20160628,5929,6246,5862,6229,630024,3859
20160627,5661,6162,5661,5995,830168,4956
20160624,6622,6622,5736,5945,1148174,7033
20160623,6546,6622,6430,6538,397311,2594
20160622,6755,6822,6480,6580,698539,4607
20160621,7006,7022,6705,6730,1043527,7096
20160620,6847,6914,6764,6914,693287,4745
20160617,6388,7081,6388,6822,2395347,16325
20160616,6630,6663,6296,6296,512737,3294
20160615,6730,6789,6521,6605,544126,3617
20160614,6379,6672,6338,6647,700850,4569
20160613,6413,6563,6296,6313,478395,3063
20160610,6680,6680,6530,6555,245299,1613
20160609,6480,6755,6354,6622,938030,6184
20160608,6396,6680,6388,6480,733880,4817
20160607,6346,6488,6229,6480,512210,3282
20160603,6146,6338,6087,6263,438868,2729
20160602,5929,6146,5920,6096,215491,1303
20160601,5895,5987,5828,5987,104641,620
20160531,5728,5954,5728,5903,187916,1103
20160530,5845,5887,5720,5720,218437,1263
20160527,5845,5995,5803,5903,98850,584
20160526,5962,6045,5795,5845,173880,1023
20160525,6162,6162,5970,6004,193132,1167
20160524,6012,6196,5945,6054,457916,2793
20160523,5787,6012,5753,5962,401102,2370
20160520,5595,5728,5578,5711,118964,675
20160519,5695,5728,5528,5628,164000,919
20160518,5820,5845,5528,5703,617814,3485
20160517,5895,5962,5837,5895,130784,771
20160516,5845,5929,5845,5845,164623,968
20160513,5878,5987,5845,5903,105958,626
20160512,5962,5962,5862,5878,110569,653
20160511,5995,6029,5745,5979,135677,802
20160510,5720,5987,5720,5979,188228,1111
20160509,5895,5929,5686,5720,232413,1339
20160504,5979,6045,5870,5895,252988,1500
20160503,6029,6104,6012,6037,151922,920
20160502,6229,6313,5979,5995,329491,2007
20160429,6263,6388,6263,6271,152228,960
20160428,6313,6354,6196,6346,262006,1645
20160427,6446,6463,6212,6296,546048,3432
20160426,6438,6513,6313,6446,355491,2282
20160425,6713,6738,6430,6430,337970,2226
20160422,6546,6864,6513,6680,939970,6333
20160421,6480,6521,6363,6521,310581,2008
20160420,6563,6588,6363,6413,304251,1976
